kode_provinsi,nama_provinsi,kode_kabkota,nama_kabkota,kecamatan,tahun,program,jumlah_penduduk,jumlah_penduduk_miskin,kategori,blm_apbn,blm_apbd,total_blm
34,Prov. D I Yogyakarta,3401,Kab. Kulon Progo,Kalibawang,2012,PNPM Perdesaan,26815,6592,Sedang,2850,150,3000
34,Prov. D I Yogyakarta,3401,Kab. Kulon Progo,Lendah,2008,PNPM Perdesaan,36605,10525,Miskin,350,1400,1750
34,Prov. D I Yogyakarta,3401,Kab. Kulon Progo,Lendah,2010,PNPM Perdesaan,36605,10525,Miskin,1000,250,1250
34,Prov. D I Yogyakarta,3401,Kab. Kulon Progo,Lendah,2011,PNPM Perdesaan,36605,10525,Miskin,360,90,450
34,Prov. D I Yogyakarta,3401,Kab. Kulon Progo,Nanggulan,2008,PNPM Perdesaan,27495,7320,Miskin,350,1400,1750
34,Prov. D I Yogyakarta,3401,Kab. Kulon Progo,Nanggulan,2009,PNPM Perdesaan,27495,7320,Miskin,1600,400,2000
34,Prov. D I Yogyakarta,3401,Kab. Kulon Progo,Nanggulan,2010,PNPM Perdesaan,27495,7320,Miskin,1200,300,1500
34,Prov. D I Yogyakarta,3401,Kab. Kulon Progo,Nanggulan,2012,PNPM Perdesaan,27495,7320,Miskin,855,45,900
34,Prov. D I Yogyakarta,3401,Kab. Kulon Progo,Panjatan,2009,PNPM Perdesaan,33616,9018,Miskin,1600,400,2000
34,Prov. D I Yogyakarta,3401,Kab. Kulon Progo,Panjatan,2011,PNPM Perdesaan,33616,9018,Miskin,360,90,450
34,Prov. D I Yogyakarta,3401,Kab. Kulon Progo,Panjatan,2012,PNPM Perdesaan,33616,9018,Miskin,665,35,700
34,Prov. D I Yogyakarta,3401,Kab. Kulon Progo,Pengasih,2008,PNPM Perdesaan,45497,11415,Miskin,350,1400,1750
34,Prov. D I Yogyakarta,3401,Kab. Kulon Progo,Samigaluh,2012,PNPM Perdesaan,24823,5443,Sedang,2850,150,3000
34,Prov. D I Yogyakarta,3401,Kab. Kulon Progo,Sentolo,2011,PNPM Perdesaan,44830,12890,Miskin,480,120,600
34,Prov. D I Yogyakarta,3401,Kab. Kulon Progo,Sentolo,2012,PNPM Perdesaan,44830,12890,Miskin,997.5,52.5,1050
